time [сек];Mz;epsilon;omega;alpha;Iт;delta_р.в.;Mzp;V;Lp
0.204;1.7763568394002505e-15;2.5734878146025597e-14;5.24991514178923e-15;4.0;38.8;-5.28;0;0;0
0.205;1.7763568394002505e-15;2.5734878146025597e-14;5.2756500199352555e-15;4.0;38.8;-5.28;0;0;0
0.206;1.7763568394002505e-15;2.5734878146025597e-14;5.301384898081281e-15;4.0;38.8;-5.28;0;0;0
0.207;1.7763568394002505e-15;2.5734878146025597e-14;5.327119776227307e-15;4.0;38.8;-5.28;0;0;0
0.208;1.7763568394002505e-15;2.5734878146025597e-14;5.352854654373333e-15;4.0;38.8;-5.28;0;0;0
0.209;1.7763568394002505e-15;2.5734878146025597e-14;5.378589532519359e-15;4.0;38.8;-5.28;0;0;0
0.21;1.7763568394002505e-15;2.5734878146025597e-14;5.404324410665385e-15;4.0;38.8;-5.28;0;0;0
0.211;1.7763568394002505e-15;2.5734878146025597e-14;5.4300592888114105e-15;4.0;38.8;-5.28;0;0;0
0.212;1.7763568394002505e-15;2.5734878146025597e-14;5.455794166957436e-15;4.0;38.8;-5.28;0;0;0
0.213;1.7763568394002505e-15;2.5734878146025597e-14;5.481529045103462e-15;4.0;38.8;-5.28;0;0;0
0.214;1.7763568394002505e-15;2.5734878146025597e-14;5.507263923249488e-15;4.0;38.8;-5.28;0;0;0
0.215;1.7763568394002505e-15;2.5734878146025597e-14;5.532998801395514e-15;4.0;38.8;-5.28;0;0;0
0.216;1.7763568394002505e-15;2.5734878146025597e-14;5.55873367954154e-15;4.0;38.8;-5.28;0;0;0
0.217;1.7763568394002505e-15;2.5734878146025597e-14;5.5844685576875656e-15;4.0;38.8;-5.28;0;0;0
0.218;1.7763568394002505e-15;2.5734878146025597e-14;5.610203435833591e-15;4.0;38.8;-5.28;0;0;0
0.219;1.7763568394002505e-15;2.5734878146025597e-14;5.635938313979617e-15;4.0;38.8;-5.28;0;0;0
0.22;1.7763568394002505e-15;2.5734878146025597e-14;5.661673192125643e-15;4.0;38.8;-5.28;0;0;0
0.221;1.7763568394002505e-15;2.5734878146025597e-14;5.687408070271669e-15;4.0;38.8;-5.28;0;0;0
0.222;1.7763568394002505e-15;2.5734878146025597e-14;5.713142948417695e-15;4.0;38.8;-5.28;0;0;0
0.223;1.7763568394002505e-15;2.5734878146025597e-14;5.7388778265637206e-15;4.0;38.8;-5.28;0;0;0
0.224;1.7763568394002505e-15;2.5734878146025597e-14;5.7646127047097464e-15;4.0;38.8;-5.28;0;0;0
0.225;1.7763568394002505e-15;2.5734878146025597e-14;5.790347582855772e-15;4.0;38.8;-5.28;0;0;0
0.226;1.7763568394002505e-15;2.5734878146025597e-14;5.816082461001798e-15;4.0;38.8;-5.28;0;0;0
0.227;1.7763568394002505e-15;2.5734878146025597e-14;5.841817339147824e-15;4.0;38.8;-5.28;0;0;0
0.228;1.7763568394002505e-15;2.5734878146025597e-14;5.86755221729385e-15;4.0;38.8;-5.28;0;0;0
0.229;1.7763568394002505e-15;2.5734878146025597e-14;5.893287095439876e-15;4.0;38.8;-5.28;0;0;0
0.23;1.7763568394002505e-15;2.5734878146025597e-14;5.9190219735859015e-15;4.0;38.8;-5.28;0;0;0
0.231;1.7763568394002505e-15;2.5734878146025597e-14;5.944756851731927e-15;4.0;38.8;-5.28;0;0;0
